tick,x,y,heading,bearing,distance,forward_cmd,turn_cmd,yaw_rate,reward,seed
60,-5.0255662978102285,-4.878340438960346,2.6678075790405273,-0.16603800654411316,2.2659063429638224,0.5395185581983237,0.42890547212393054,0.8613235950469971,0.2577099929908979,20000005
61,-5.250871331735095,-4.937414360865573,2.6054422855377197,-0.18925125896930695,2.128225088048048,0.8560704140130915,0.03172050596617787,-3.1182680130004883,0.12768125491577442,20000005
62,-5.273186549409806,-4.707120943734576,2.496990442276001,-0.0005591309745796025,1.9650658250487627,0.9483743175379673,0.02886143986072276,-5.42258882522583,0.15315926299928528,20000005
63,-5.420743500660183,-4.331946343739244,2.4274497032165527,0.1983974725008011,1.6352394412611846,0.8291866214753989,0.16045797404779738,-3.477041721343994,0.3198263837875781,20000005
64,-5.667272181329721,-4.248870148812797,2.5001120567321777,0.09001071751117706,1.3806870413168046,0.5294446757182972,0.43283867607623555,3.6331162452697754,0.24455239994437994,20000005
65,-5.933284913780219,-4.256232525116651,2.4880576133728027,-0.023054923862218857,1.1670902204782347,0.6675715062939751,-0.2936990757185083,-0.6027172803878784,0.2035968208385699,20000005
66,-6.0576787790249,-4.052038431332667,2.395216226577759,0.15588290989398956,0.9457482018753206,0.9248023725611454,-0.06239722895292993,-4.642070293426514,10.211342018602915,20000005
1,0.6001092731542239,0.005766586489241729,0.012773045338690281,-1.5881900787353516,9.162656959138625,-0.13776925430978412,0.6102376377875747,0.638528048992157,-0.015873789035277357,20000006
2,0.6848968242451734,-0.0018896788367115194,-0.03920936584472656,-1.5454721450805664,9.155785474173229,0.40463863402306566,0.5630226264814367,-2.599120616912842,-0.003128515034603865,20000006
3,0.7099322582029133,-0.07653129103584674,-0.12723000347614288,-1.4603221416473389,9.0815360855291,0.37333616724719376,0.6223184431574033,-4.401031970977783,0.06424938864412845,20000006
4,0.9552175475418291,-0.14693352785736963,-0.2562180459499359,-1.3586621284484863,9.018620928641704,0.38610662945286733,0.6128462484251497,-6.44940185546875,0.052915156887395794,20000006
5,1.1440364685145779,-0.06661348983913559,-0.27669116854667664,-1.3585103750228882,9.109064861306019,0.32187979957920676,0.6755682919494356,-1.023655891418457,-0.10044393266431427,20000006
6,1.209909866245609,0.0912694196864956,-0.2748681306838989,-1.3663278818130493,9.271026663808732,0.2895456394899045,0.6845366802578482,0.0911501869559288,-0.17196180250271298,20000006
7,1.1533543505574493,0.13013991749049833,-0.33647292852401733,-1.2983670234680176,9.306010653736259,0.3793812591535703,0.560847521658966,-3.080237865447998,-0.04498398992752705,20000006
8,1.5304584956768095,-0.24905881862938037,-0.5902704000473022,-1.0892908573150635,8.96068308229817,0.4208762999541877,0.5742114465880377,-12.689874649047852,0.335327571438089,20000006
9,1.7948826791517962,-0.20057703952912473,-0.6167303323745728,-1.091326355934143,9.041252219171513,0.3732606202745602,0.5900193536255666,-1.3229950666427612,-0.09056913687334343,20000006
10,1.9039381200842407,-0.09412450181150668,-0.5905855894088745,-1.1276723146438599,9.162102279722728,0.327662803820296,0.5864691205959327,1.307234525680542,-0.13085006055121462,20000006
11,1.90703652603774,-0.021876685832943662,-0.6352616548538208,-1.0821785926818848,9.234024335206874,0.5299116484130733,0.3645004856867884,-2.233802080154419,-0.08192205548414598,20000006
12,1.763674417415461,-0.14044184895487666,-0.7692127823829651,-0.9345407485961914,9.09663581387738,0.4952892536236001,0.4995946393629236,-6.697556495666504,0.12738852132949297,20000006
13,1.8949211462366558,-0.48505075563947303,-0.8688487410545349,-0.8549389243125916,8.774227964603167,0.4294187281621802,0.5700237807069441,-4.981797218322754,0.3124078492742137,20000006
